Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Speculation Ratio,Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.),options/futures,open,high,low ,close
2018-01-04,NIFTY,95665,7174875,7536.15,1224520,91839000,96673.34,104209.49,36892.63,2.824669588,26283.76,12428791,15060958.35,12.82794796,10469.4,10513,10441.45,10504.8
2018-01-05,NIFTY,95675,7175625,7578.25,1400922,105069150,110868.04,118446.29,38342.91,3.089131472,26761.64,12791399,15170915.24,14.62976809,10534.25,10566.1,10520.1,10558.85
2018-01-08,NIFTY,80402,6030150,6408.06,1371194,102839550,108837.11,115245.17,37694.11,3.057378726,22544.33,13117295,15280165.56,16.9844087,10591.7,10631.2,10588.55,10623.6
2018-01-11,NIFTY,102418,7681350,8181.12,1581761,118632075,125751.32,133932.44,35305.76,3.793501117,20221.49,12354766,15308574.46,15.37091743,10637.05,10664.6,10612.35,10651.2
2018-01-12,NIFTY,153458,11509350,12268.99,2648741,198655575,211125.91,223394.9,38117.13,5.860748173,24230.62,12588175,15321627.92,17.20809211,10682.55,10690.4,10597.1,10681.25
2018-01-15,NIFTY,118478,8885850,9551.53,2379003,178425225,190980.18,200531.71,34037.93,5.891419073,19496.06,10985091,15351623.41,19.99472126,10718.5,10782.65,10713.8,10741.55
2018-01-16,NIFTY,130600,9795000,10504.81,2420793,181559475,194523.37,205028.18,38604.19,5.311034372,22338.75,13749922,15186371.8,18.51755244,10761.5,10762.35,10687.85,10700.45
2018-01-17,NIFTY,150934,11320050,12161.84,2968116,222608700,238804.77,250966.61,38740.38,6.478165934,24156.98,13136577,15279108.11,19.63557899,10702.45,10803,10666.75,10788.55
2018-01-18,NIFTY,172382,12928650,14015.61,3683342,276250650,298509.74,312525.35,42553.66,7.344264865,23365.75,13503667,15139614.9,21.2983766,10873.4,10887.5,10782.4,10817
2018-01-19,NIFTY,148893,11166975,12120.88,3731805,279885375,302804.55,314925.43,33320.51,9.451398853,16674.84,11153227,15243780.69,24.98205988,10829.2,10906.85,10793.9,10894.7
2018-01-22,NIFTY,203926,15294450,16716.01,3621724,271629300,295732.14,312448.15,35915.33,8.699576198,16329.57,11521053,15353879.56,17.69155079,10883.2,10975.1,10881.4,10966.2
2018-01-23,NIFTY,266072,19955400,22070.71,5690179,426763425,469962.89,492033.6,42482.86,11.5819321,19158.93,13623168,15464545.12,21.29351027,10997.4,11092.9,10994.55,11083.7
2018-01-24,NIFTY,248565,18642375,20678.56,4965456,372409200,411351.93,432030.49,42328.64,10.20657621,17392.49,13114055,15425905.58,19.89267773,11069.35,11110.1,11046.15,11086
2018-01-25,NIFTY,461768,34632600,38326.89,6951133,521334975,576011.66,614338.55,45562.13,13.48353446,19282.19,12264007,15334990.67,15.0289173,11095.6,11095.6,11009.2,11069.65
2018-01-29,NIFTY,113422,8506650,9484.53,1291945,96895875,108310.71,117795.24,35515.69,3.316709882,14592.44,12173442,15325798.17,11.41972349,11079.35,11171.55,11075.95,11130.4
2018-01-30,NIFTY,112298,8422350,9333.64,1474233,110567475,123606.38,132940.02,34631.47,3.838705663,16364.55,11542032,15212069.47,13.24310558,11120.85,11121.1,11033.9,11049.65
2018-01-31,NIFTY,129105,9682875,10696.14,1779197,133439775,148829.09,159525.23,37714.83,4.229774601,16063.94,12880450,15140452.62,13.91428029,11018.8,11058.5,10979.3,11027.7
2018-02-01,NIFTY,387956,29096700,32082.32,4461507,334613025,372113.7,404196.02,41637.97,9.707390154,17550.88,13607265,15131893.67,11.59871543,11044.55,11117.35,10878.8,11016.9
2018-02-02,NIFTY,255235,19142625,20777.07,3789061,284179575,313318.59,334095.66,47472.98,7.037596123,22355.48,15763261,14681932.78,15.08001802,10938.2,10954.95,10736.1,10760.6
2018-02-05,NIFTY,187192,14039400,14979.32,3102827,232712025,252193.9,267173.22,36898.47,7.240766894,17879.04,13400141,14610513.37,16.83613809,10604.3,10702.75,10586.8,10666.55
2018-02-06,NIFTY,443049,33228675,34626.53,5305251,397893825,421823.64,456450.17,39339.66,11.60279906,18708.92,14229699,14346163.65,12.1820939,10295.15,10594.15,10276.3,10498.25
2018-02-07,NIFTY,212444,15933300,16748.08,2772035,207902625,221563.68,238311.76,33746.25,7.061873838,15372.48,12048715,14421309.66,13.22919881,10607.2,10614,10446.4,10476.7
2018-02-08,NIFTY,231893,17391975,18392.82,2850530,213789750,227414.74,245807.56,34882.63,7.046703761,15848.08,12561289,14617918.82,12.36432151,10518.5,10637.8,10479.55,10576.85
2018-02-09,NIFTY,223237,16742775,17479.47,3112670,233450250,246997.26,264476.73,31582.68,8.374106631,15755.69,11468061,14556659.34,14.13070648,10416.5,10480.2,10398.2,10454.95
2018-02-12,NIFTY,141023,10576725,11130.08,2145218,160891350,170741.5,181871.58,30902.39,5.88535644,15351.45,10583311,14721804.71,15.34054562,10518.2,10555.5,10485.4,10539.75
2018-02-14,NIFTY,139975,10498125,11064.48,2458453,184383975,195780.24,206844.72,34739.18,5.95421999,17356.48,12426020,14685897.59,17.6944818,10585.75,10590.55,10456.65,10500.9
2018-02-15,NIFTY,194265,14569875,15401.08,3313564,248517300,263611.15,279012.23,31825.4,8.766966951,15763.97,10925120,14652807.77,17.11640677,10537.9,10618.1,10511.05,10545.5
2018-02-16,NIFTY,206626,15496950,16296.97,4462238,334667850,355884.57,372181.54,29800.48,12.48911226,14989.77,10146183,14507704.9,21.83746856,10596.2,10612.9,10434.05,10452.3
2018-02-19,NIFTY,305634,22922550,23775.39,5750598,431294850,452759.75,476535.14,28468.44,16.73906754,14540.44,9973096,14381889.86,19.04321023,10488.9,10489.35,10302.75,10378.4
2018-02-20,NIFTY,247514,18563550,19291.67,5327576,399568200,417913.21,437204.88,27137.05,16.11099512,13422.76,9635792,14385496.02,21.66288403,10391,10429.35,10347.65,10360.4
2018-02-21,NIFTY,218632,16397400,17020.72,5298810,397410750,414240.34,431261.06,28622.37,15.06727291,12104.8,10190353,14412277.38,24.33741581,10426,10426.1,10349.6,10397.45
2018-02-22,NIFTY,379192,28439400,29498.39,7020319,526523925,547718.46,577216.85,37006.85,15.59756775,15724.19,10656267,14348055.57,18.56774082,10354.35,10397.55,10340.65,10382.7
2018-02-26,NIFTY,103789,7784175,8240.7,1389500,104212500,110287.43,118528.13,29176.42,4.062463112,15336.13,10256657,14654981.09,13.38325992,10526.55,10592.95,10520.2,10582.6
2018-02-27,NIFTY,128386,9628950,10186.57,1467091,110031825,116556,126742.57,28193.66,4.49542805,14039.5,9785459,14613418.55,11.44212429,10615.2,10631.65,10537.25,10554.3
2018-03-05,NIFTY,171597,12869775,13332.48,2101473,157610475,165404.7,178737.18,28520.51,6.266969981,13612.61,10472162,14373679.77,12.40614649,10428.3,10428.7,10323.9,10358.85
2018-03-06,NIFTY,198602,14895150,15416.04,2241448,168108600,175959.31,191375.35,29914.1,6.397496498,14268.23,10657239,14231240.11,11.41404083,10420.5,10441.35,10215.9,10249.25
2018-03-07,NIFTY,222702,16702650,17046.47,2718955,203921625,211878.5,228924.97,30909.39,7.406324421,17254.06,11246770,14049473.15,12.42946487,10232.95,10243.35,10141.55,10154.2
2018-03-08,NIFTY,199323,14949225,15270.43,2426566,181992450,187915.65,203186.08,30327.15,6.699807928,17140.84,10801229,14113447.38,12.3058519,10216.25,10270.35,10146.4,10242.65
2018-03-09,NIFTY,159063,11929725,12235.33,2143068,160730100,166359.69,178595.02,25974.78,6.875708668,14362.32,9971035,14088483.42,13.59666556,10271.3,10296.7,10211.9,10226.85
2018-03-12,NIFTY,201039,15077925,15629.49,2650670,198800250,206724.32,222353.81,27068.13,8.214598127,15094.54,9500758,14264536.69,13.2265557,10301.6,10433.65,10295.45,10421.4
2018-03-13,NIFTY,209217,15691275,16384.08,3218171,241362825,252375.17,268759.25,44691.56,6.013646648,18440.8,11443562,14326441.96,15.40368272,10389.5,10478.6,10377.85,10426.85
2018-03-14,NIFTY,164971,12372825,12860.13,2265308,169898100,177179.92,190040.05,27629.63,6.878125042,15813.61,9205792,14315218.98,13.77745948,10393.05,10420.35,10336.3,10410.9
2018-03-15,NIFTY,121928,9144600,9508.76,1697115,127283625,132800.12,142308.88,28326.59,5.023862032,17119.07,9583112,14309959.77,13.9660818,10405.45,10420,10346.2,10360.15
2018-03-16,NIFTY,232138,17410350,17884.8,3367434,252557550,262288.04,280172.84,41936.96,6.680809482,21314.06,13537049,14116754.88,14.66541644,10345.15,10346.3,10180.25,10195.15
2018-03-19,NIFTY,214078,16055850,16314.07,3523117,264233775,272114.37,288428.44,27705.62,10.4104669,14979.42,9911217,13927897.1,16.67973535,10215.35,10224.55,10075.3,10094.25
2018-03-20,NIFTY,196336,14725200,14937.98,3112580,233443500,238911.46,253849.44,27610.57,9.193922472,14607.87,9660216,13951117.53,15.9935587,10051.55,10155.65,10049.1,10124.35
2018-03-21,NIFTY,199376,14953200,15265.23,3643209,273240675,280478.97,295744.2,28410.65,10.40962456,14814.44,10353900,13989510.26,18.37371399,10181.95,10227.3,10132.95,10155.25
2018-03-22,NIFTY,193205,14490375,14735.4,3516309,263723175,270194.33,284929.73,27478.66,10.36912753,14510.75,9919562,13907873.55,18.3364096,10167.5,10207.85,10105.4,10114.75
2018-03-23,NIFTY,249955,18746625,18761.46,5406633,405497475,411204.6,429966.06,32450.07,13.25008112,17114.19,10949076,13756689,21.91751601,9968.8,10027.7,9951.9,9998.05
2018-03-26,NIFTY,347976,26098200,26284.45,5467028,410027100,415163.76,441448.21,31018.64,14.23170745,17008.57,10558288,13936458.65,15.79503319,9989.15,10143.5,9958.55,10130.65
2018-03-27,NIFTY,276422,20731650,21131.56,5955332,446649900,455898.99,477030.55,33457.53,14.25779339,15588.79,11579084,14096661.14,21.57431775,10188,10207.9,10139.65,10184.15
2018-03-28,NIFTY,349565,26217375,26591.5,7106646,532998450,542608.41,569199.91,43434.65,13.10474264,19753.17,12491763,14044151.54,20.40533291,10143.6,10158.35,10096.9,10113.7
2018-04-02,NIFTY,122552,9191400,9393.21,1519713,113978475,117021.71,126414.92,26681.61,4.737904497,12461.28,10445493,14258035,12.45811709,10151.65,10220.1,10127.75,10211.8
2018-04-03,NIFTY,131465,9859875,10106.89,1496576,112243200,115817.39,125924.28,28252.91,4.457037523,14856.09,10221041,14356486.41,11.45925107,10186.85,10255.35,10171.05,10245
2018-04-04,NIFTY,211430,15857250,16193.37,2278273,170870475,175834.83,192028.2,32857.8,5.844219637,18220.45,11768235,14239068.16,10.85844577,10274.6,10279.85,10111.3,10128.4
2018-04-05,NIFTY,171584,12868800,13271.78,2059848,154488600,159293.22,172565,30418.5,5.673027927,16252.93,9755809,14492838.07,12.00240058,10228.45,10331.8,10227.45,10325.15
2018-04-06,NIFTY,105291,7896825,8165.79,1559689,116976675,120989.67,129155.46,28540.11,4.525401619,16296.32,9546539,14537357.73,14.81665215,10322.75,10350.45,10290.85,10331.6
2018-04-09,NIFTY,107553,8066475,8385.24,1604876,120365700,125229.78,133615.02,27875.82,4.793222944,13825.77,10059195,14591750.14,14.93454928,10333.7,10397.7,10328.5,10379.35
2018-04-10,NIFTY,108034,8102550,8441.64,1528459,114634425,119619.31,128060.95,27871.31,4.594723032,14405.46,10021485,14618851.18,14.17015059,10412.9,10424.85,10381.5,10402.25
2018-04-11,NIFTY,111686,8376450,8715.24,1677796,125834700,131176.22,139891.46,29880.7,4.681666092,14415.66,9600122,14635713.04,15.05136061,10428.15,10428.15,10355.6,10417.15
2018-04-12,NIFTY,120151,9011325,9411.92,1654327,124074525,129119.85,138531.77,29398.17,4.71225828,14087.84,9852021,14648478.53,13.7187577,10410.65,10469.9,10395.25,10458.65
2018-04-13,NIFTY,122802,9210150,9662.87,2339645,175473375,183433.86,193096.73,29219.7,6.608443276,12906.95,9811017,14677669.38,18.98337243,10495.3,10519.9,10451.45,10480.6
2018-04-16,NIFTY,110204,8265300,8678.53,2126528,159489600,166537.34,175215.87,27754.74,6.313007076,12222.79,9348187,14749405.74,19.18957934,10398.3,10540.15,10396.35,10528.35
2018-04-17,NIFTY,103715,7778625,8198.81,2278641,170898075,179480.19,187679,28198.33,6.655677836,12241.66,10388693,14778603.6,21.89100491,10557.3,10560.45,10495.65,10548.7
2018-04-18,NIFTY,126560,9492000,10026.74,2444772,183357900,193317.27,203344.01,28009.66,7.259781447,14427.45,10065158,14756336.91,19.28017182,10578.9,10594.2,10509.7,10526.2
2018-04-19,NIFTY,85402,6405150,6771.98,1738668,130400100,137186.03,143958.01,30728.6,4.684821632,14674.33,10503298,14830739.84,20.2578906,10563.65,10572.2,10546.2,10565.3
2018-04-20,NIFTY,125645,9423375,9951.95,2919375,218953125,230023.08,239975.03,34021.46,7.053637028,13567.22,10767424,14839364.79,23.11336773,10560.35,10582.35,10527.45,10564.05
2018-04-23,NIFTY,178038,13352850,14157.74,3541696,265627200,280712.51,294870.25,32294.16,9.130760794,11906.35,10393120,14914986.95,19.82749436,10592.8,10638.35,10514.95,10584.7
2018-04-24,NIFTY,197657,14824275,15724.57,2992160,224412000,237565.58,253290.15,31982.11,7.91974482,14600.01,11016717,14935866.84,15.10792219,10578.1,10636.8,10569,10614.35
2018-04-25,NIFTY,267930,20094750,21270.57,4607468,345560100,366346.79,387617.36,32815.01,11.81219692,14480.91,11898566,14892015.31,17.22317691,10612.4,10612.6,10536.45,10570.55
2018-04-26,NIFTY,348931,26169825,27728.09,4947471,371060325,393175.38,420903.47,41585.85,10.12131458,17022.61,11518956,14929654.65,14.17967772,10586.5,10628.4,10559.65,10617.8
2018-04-27,NIFTY,113857,8539275,9147.32,1316316,98723700,105656.07,114803.39,34482.39,3.329333901,13280.39,10776526,14994225.46,11.55049457,10651.65,10719.8,10647.55,10692.3
2018-04-30,NIFTY,68741,5155575,5553.23,981420,73606500,79151.86,84705.09,28571.39,2.964682152,12300.88,9921677,15092002.34,14.25330123,10705.75,10759,10704.6,10739.35
2018-05-02,NIFTY,91424,6856800,7373.17,1083129,81234675,87427.35,94800.52,35016.49,2.707310756,15455.52,11796715,14966387.2,11.8574982,10783.85,10784.65,10689.8,10718.05
2018-05-03,NIFTY,100852,7563900,8094.81,1174618,88096350,94809,102903.81,32233.68,3.192431333,14766.08,11813200,14853613.28,11.71231938,10720.15,10720.6,10647.45,10679.65
2018-05-04,NIFTY,91311,6848325,7302.93,1132897,84967275,91166.64,98469.57,29432.83,3.345569216,14374.44,10806642,14775297.38,12.48357029,10700.45,10700.45,10601.6,10618.25
2018-05-07,NIFTY,77400,5805000,6217.63,934761,70107075,75323.55,81541.18,28640.88,2.847020762,12832.11,10284776,14880103.32,12.11451148,10653.15,10725.65,10635.65,10715.5
2018-05-08,NIFTY,90347,6776025,7271.82,971948,72896100,78695.73,85967.55,34185.15,2.514762989,15534.89,11521333,14885410.17,10.82201292,10757.9,10758.55,10689.4,10717.8
2018-05-09,NIFTY,85660,6424500,6912.22,984122,73809150,79635.29,86547.51,28965.32,2.987970097,12750.19,10047350,14882290.73,11.52094262,10693.35,10766.25,10689.85,10741.7
2018-05-10,NIFTY,89598,6719850,7222.51,1047231,78542325,84747.74,91970.25,28773.01,3.19640698,14036.69,10046626,14785597.85,11.73383491,10779.65,10785.55,10705,10716.55
2018-05-11,NIFTY,111759,8381925,9040.13,1432808,107460600,115847.25,124887.38,28628.69,4.362315565,13200.37,10250802,14843211.13,12.814777,10741.95,10812.05,10724.45,10806.5
2018-05-14,NIFTY,80857,6064275,6559.3,1441752,108131400,116772.8,123332.1,27402.41,4.500775662,12983.17,9331765,14790982.64,17.80263138,10815.15,10834.85,10774.75,10806.6
2018-05-15,NIFTY,193412,14505900,15766.08,3674284,275571300,298629.49,314395.57,33295.81,9.442496518,15428.74,11903814,14745721.3,18.94126441,10812.6,10929.2,10781.4,10801.85
2018-05-16,NIFTY,136088,10206600,10987.86,2437773,182832975,197494.18,208482.04,29759.39,7.005588488,15854.76,10658397,14699747.58,17.97385296,10751.95,10790.45,10699.7,10741.1
2018-05-17,NIFTY,103331,7749825,8311.51,1599597,119969775,129375.17,137686.68,30694.61,4.485695697,19786.8,10873318,14694197.35,15.56578408,10775.6,10777.25,10664.5,10682.7
2018-05-18,NIFTY,131830,9887250,10511.68,2284976,171373200,183789,194300.68,32483.65,5.981491612,20964.1,11217342,14539497.97,17.48426512,10671.85,10674.95,10589.1,10596.4
2018-05-21,NIFTY,123345,9250875,9774.6,2524295,189322125,201674.38,211448.98,29839.51,7.086208185,16363.51,11098361,14377744.94,20.63249442,10616.7,10621.7,10505.8,10516.7
2018-05-22,NIFTY,106751,8006325,8442.51,2268693,170151975,180990.93,189433.44,30181.79,6.276415017,16214.13,11543479,14443872.18,21.43804745,10518.45,10558.6,10490.55,10536.7
2018-05-23,NIFTY,149263,11194725,11728.38,2914599,218594925,231451.76,243180.14,30752.56,7.907638909,13860.09,11548940,14333275.29,19.7343333,10521.1,10533.55,10417.8,10430.35
2018-05-24,NIFTY,147431,11057325,11574.62,2879202,215940150,227280.32,238854.94,28863.34,8.275374229,13268.62,10481860,14380046.83,19.63609345,10464.85,10535.15,10419.8,10513.85
2018-05-25,NIFTY,174184,13063800,13836.81,3726754,279506550,296040.96,309877.77,30928.78,10.01907511,13602.1,12093661,14551426.77,21.39517418,10533.05,10628.05,10524,10605.15
2018-05-28,NIFTY,139753,10481475,11192.33,3041118,228083850,243470.95,254663.28,30128.42,8.452593266,14205.37,11263802,14705586.77,21.75337486,10648.35,10709.8,10640.55,10688.65
2018-05-29,NIFTY,234157,17561775,18710.18,4236386,317728950,339630.88,358341.06,30346.75,11.80821867,15095.12,11326063,14668950.12,18.15219736,10689.4,10717.25,10616.1,10633.3
2018-05-30,NIFTY,266186,19963950,21144.65,5513317,413498775,439867.12,461011.77,30221.98,15.25418818,15682.63,11703776,14651643.57,20.80276193,10579,10648.7,10558.45,10614.35
2018-05-31,NIFTY,318019,23851425,25460.65,5065105,379882875,405242.14,430702.79,59237.57,7.270770729,25895.16,15150626,14693260.03,15.91640983,10670.1,10763.8,10620.4,10736.15
2018-06-01,NIFTY,114633,8597475,9206.35,1460323,109524225,118050.07,127256.42,29523.11,4.310400225,16590.79,10724055,14573929.4,12.82267891,10738.45,10764.75,10681.5,10696.2
2018-06-04,NIFTY,133284,9996300,10640.34,1500246,112518450,121008.91,131649.25,28487.49,4.621300437,12482.71,10493947,14427471.31,11.37265445,10765.95,10770.3,10618.35,10628.5
2018-06-05,NIFTY,118955,8921625,9446.97,1477523,110814225,118523.87,127970.84,27802.38,4.602873567,15096.91,11947253,14273557.47,12.54623123,10630.7,10633.15,10550.9,10593.15
2018-06-06,NIFTY,139731,10479825,11155.86,1613248,120993600,129440.26,140596.12,27089.21,5.190115179,15365.75,11580849,14443614.06,11.60289391,10603.45,10698.35,10587.5,10684.65
2018-06-07,NIFTY,128152,9611400,10355.12,1750343,131275725,141251.51,151606.63,29490.98,5.140779655,15294.33,10883812,14609208.49,13.64074101,10722.6,10818,10722.6,10768.35
2018-06-08,NIFTY,118129,8859675,9500.84,1581268,118595100,127622.63,137123.47,28512.79,4.809191594,13150.44,10448649,14656416.27,13.43277331,10736.4,10779.45,10709.05,10767.65
2018-06-11,NIFTY,99676,7475700,8076.57,1562109,117158175,126857.47,134934.04,26706.03,5.052568278,12553.7,10405096,14702297.59,15.70684957,10781.85,10850.55,10777.05,10786.95
2018-06-12,NIFTY,103242,7743150,8380.01,1525364,114402300,123799.14,132179.15,27770.94,4.759621028,13014.71,10811731,14790850.69,14.77314944,10816.15,10856.55,10789.4,10842.85
2018-06-13,NIFTY,84592,6344400,6885.2,1380981,103573575,112281.41,119166.61,29082.3,4.097564842,13170.64,10561263,14792661.96,16.30764684,10887.5,10893.25,10842.65,10856.7
2018-06-14,NIFTY,106681,8001075,8643.82,1593136,119485200,128916.77,137560.59,26350.92,5.220333484,12004.58,9516649,14745723.83,14.91432839,10832.9,10833.7,10773.55,10808.05
2018-06-15,NIFTY,157282,11796150,12729.95,2401730,180129750,194562.04,207291.99,37545.88,5.521031602,14463.6,12495453,14716449.46,15.28380237,10808.65,10834,10755.4,10817.7
2018-06-18,NIFTY,79744,5980800,6458.15,1442792,108209400,117025.56,123483.71,23184.81,5.326060899,10825.69,8931233,14673991.91,18.1206011,10830.2,10830.2,10787.35,10799.85
2018-06-19,NIFTY,131141,9835575,10552.59,2287001,171525075,185031.25,195583.84,26499.4,7.380689374,13137.46,10508185,14531693.13,17.5342025,10789.45,10789.45,10701.2,10710.45
2018-06-20,NIFTY,121366,9102450,9801.04,1912835,143462625,154695.07,164496.11,25095.71,6.554750194,12163.57,10106790,14572227.92,15.78353624,10734.65,10781.8,10724.05,10772.05
2018-06-21,NIFTY,111835,8387625,9025.61,2089014,156676050,169187.4,178213.01,24978.06,7.134781885,11130.69,10226255,14504009.19,18.74525932,10808.45,10809.6,10725.9,10741.1
2018-06-22,NIFTY,140610,10545750,11367.72,2927751,219581325,236729.16,248096.88,26822.92,9.24943593,10953.85,10013331,14565986.94,20.82468252,10742.7,10837,10710.45,10821.85
2018-06-25,NIFTY,183423,13756725,14837.96,3059397,229454775,248397.88,263235.84,24461.16,10.76138008,10723.52,9139298,14464042.91,16.7407029,10822.9,10831.05,10753.05,10762.45
2018-06-26,NIFTY,222197,16664775,17945.89,3587561,269067075,290696.29,308642.18,26079.58,11.83463001,11788.81,10039176,14452278.04,16.19848834,10742.7,10805.25,10732.55,10769.15
2018-06-27,NIFTY,289753,21731475,23260.48,5224566,391842450,422235.22,445495.7,28959.7,15.38329817,14112.21,11211375,14268490.04,18.15247235,10785.5,10785.5,10652.4,10671.4
2018-06-28,NIFTY,401405,30105375,31945.43,6510074,488255550,522231.98,554177.41,37876.38,14.6312137,18458.69,11416567,14105313.78,16.34762719,10660.8,10674.2,10557.7,10589.1
2018-06-29,NIFTY,141134,10585050,11292.16,1290664,96799800,104101.2,115393.36,29376.44,3.928092036,13723.71,11044526,14329071.96,9.218891691,10612.85,10723.05,10612.35,10714.3
2018-07-02,NIFTY,126816,9511200,10122.85,1445263,108394725,116432.78,126555.63,28641.58,4.418598066,14765.63,10028225,14249089.67,11.50197622,10732.35,10736.15,10604.65,10657.3
2018-07-03,NIFTY,122419,9181425,9823.23,1407012,105525900,113503.8,123327.03,24545.32,5.024462097,11565.3,9553684,14317945.13,11.55463122,10668.6,10713.3,10630.25,10699.9
2018-07-04,NIFTY,114264,8569800,9194.55,1350938,101320350,109125.64,118320.19,25099.64,4.714019404,10985.44,9092612,14370714.3,11.86851341,10715,10777.15,10677.75,10769.9
2018-07-05,NIFTY,89647,6723525,7236.14,1183404,88755300,95738.44,102974.58,26064.32,3.95078713,11392.68,9076471,14332633.17,13.23059532,10786.05,10786.05,10726.25,10749.75
2018-07-06,NIFTY,110228,8267100,8915.6,1584017,118801275,128608.27,137523.87,28712.09,4.789754769,12435.38,10248840,14403906.25,14.425083,10744.15,10816.35,10735.05,10772.65
2018-07-09,NIFTY,91272,6845400,7426.19,1272013,95400975,103556.23,110982.42,24397.4,4.54894456,12094.41,9172836,14541744.7,13.94473209,10838.3,10860.35,10807.15,10852.9
2018-07-10,NIFTY,110803,8310225,9080.07,1606715,120503625,131514.06,140594.13,27678.65,5.079515439,13136.35,10596357,14672085.5,14.48381565,10902.75,10956.9,10876.65,10947.25
2018-07-11,NIFTY,107372,8052900,8809.69,1593377,119503275,130542.62,139352.31,30291.4,4.60039186,13402.94,10564973,14655032.31,14.81807192,10956.4,10976.65,10923,10948.3
2018-07-12,NIFTY,138105,10357875,11428.21,2193799,164534925,181135.8,192564.01,30463.8,6.321076491,13889.98,11034310,14691944.68,15.84988375,11006.95,11078.3,10999.65,11023.2
2018-07-13,NIFTY,113347,8501025,9370.94,1826887,137016525,151140.76,160511.7,29592.72,5.424026585,14671.67,10370598,14631611.01,16.12866585,11056.9,11071.35,10999.75,11018.9
2018-07-16,NIFTY,108915,8168625,8968.27,1900510,142538250,156767.78,165736.05,27765.97,5.969035117,13198.4,10232503,14419300.13,17.48026988,11018.95,11019.5,10926.25,10936.85
2018-07-17,NIFTY,125864,9439800,10376.41,2066750,155006250,170336.77,180713.18,28288.38,6.388247754,15729.5,10790611,14552447.79,16.41577097,10939.65,11018.5,10925.6,11008.05
2018-07-18,NIFTY,148437,11132775,12260.82,2879755,215981625,237322.51,249583.33,29630.86,8.423087619,15358.23,11246426,14478986.81,19.35616949,11060.2,11076.2,10956.3,10980.45
2018-07-19,NIFTY,123733,9279975,10188.62,2079981,155998575,171065.66,181254.28,27888.39,6.499273712,13560.73,10517502,14422039.46,16.78987537,10999.5,11006.5,10935.45,10957.1
2018-07-20,NIFTY,121268,9095100,10019.46,2019463,151459725,166734.09,176753.55,29179.54,6.05744813,12605.4,10247600,14502276.14,16.64102556,10963.5,11030.25,10946.2,11010.2
2018-07-23,NIFTY,139146,10435950,11550.38,2514663,188599725,207857.84,219408.22,31562.17,6.951620247,14606.69,10878107,14633213.11,17.99575772,11019.85,11093.4,11010.95,11084.75
2018-07-24,NIFTY,225337,16900275,18830.22,3104187,232814025,258215.1,277045.32,34563.31,8.015589942,18103.16,12537359,14798442.79,13.71280314,11109,11143.4,11092.5,11134.3
2018-07-25,NIFTY,203109,15233175,16989.19,3112729,233454675,259468.92,276458.11,32393.16,8.534459435,15632.29,11553009,14789584.28,15.27258922,11148.4,11157.15,11113.25,11132
2018-07-26,NIFTY,307995,23099625,25819.91,4502310,337673250,376148.24,401968.15,43977.3,9.140355365,18122.58,12785844,14834352.32,14.56814683,11132.95,11185.85,11125.7,11167.3
2018-07-27,NIFTY,101135,7585125,8551.4,1149519,86213925,97063.95,105615.35,33484.75,3.154132852,15494.21,11174505,14963897.77,11.35065019,11232.75,11283.4,11210.25,11278.35
2018-07-30,NIFTY,87716,6578700,7447.12,938980,70423500,79789.6,87236.72,33654.43,2.592131853,15606.27,11480783,15063126.91,10.71415527,11296.65,11328.1,11261.45,11319.55
2018-07-31,NIFTY,85879,6440925,7299.65,965430,72407250,82049.46,89349.11,34992.24,2.553397839,17038.49,11998544,15128449.08,11.24019097,11311.05,11366,11267.75,11356.5
2018-08-01,NIFTY,105331,7899825,8987.77,1172484,87936300,99979.33,108967.1,33806.18,3.223289351,16142.82,12071738,15165026.12,11.12393063,11359.8,11390.55,11313.55,11346.2
2018-08-02,NIFTY,100397,7529775,8512.69,1099743,82480725,93634.39,102147.08,30888.61,3.306949714,14337.67,11203255,15090310.96,10.99938915,11328.9,11328.9,11234.95,11244.7
2018-08-03,NIFTY,96799,7259925,8250.65,1131215,84841125,96164.56,104415.21,32614.32,3.201514243,16158.49,11025931,15227786.15,11.655392,11297.8,11368,11294.55,11360.8
2018-08-06,NIFTY,66588,4994100,5703.02,1033710,77528250,88293.52,93996.54,32611.57,2.882306494,14764.46,10694402,15306433.98,15.48188854,11401.5,11427.65,11370.6,11387.1
2018-08-07,NIFTY,74275,5570625,6358.07,1007163,75537225,86117.97,92476.04,32458.52,2.849052883,16438.35,11324083,15276755.06,13.54467157,11423.15,11428.95,11359.7,11389.45
2018-08-08,NIFTY,94517,7088775,8116.97,1313527,98514525,112299.75,120416.72,31854.34,3.780229633,15682.09,11369745,15327757.6,13.83518111,11412.5,11459.95,11379.3,11450
2018-08-09,NIFTY,65589,4919175,5650.44,1056150,79211250,90361.83,96012.27,34903.22,2.750814108,20071.48,11397787,15369688.14,15.99199885,11493.25,11495.2,11454.1,11470.7
2018-08-10,NIFTY,81986,6148950,7043.28,1093313,81998475,93881.31,100924.59,33596.48,3.004022743,16331.46,11059149,15292314.69,13.32920316,11474.95,11478.75,11419.65,11429.5
