Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Speculation Ratio,Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.),options/futures,open,high,low ,close
2016-10-06,NIFTY,141805,10635375,9321.12,1533909,115043175,101147.63,110468.75,22278.94,4.958438328,12034.58,8743731,11131143.07,10.85144596,8768.7,8781.15,8684.65,8709.55
2016-10-07,NIFTY,124555,9341625,8147.08,1460725,109554375,96069.28,104216.36,19352.51,5.385159858,9969.14,7242494,11117768.53,11.79186653,8721.7,8723.7,8663.8,8697.6
2016-10-10,NIFTY,75339,5650425,4943.4,923959,69296925,60676.61,65620.01,15091.93,4.34801977,8123.72,6344886,11130476.52,12.2742667,8735.35,8745.8,8703.95,8708.8
2016-10-13,NIFTY,205217,15391275,13253.15,2672126,200409450,174052.45,187305.6,23622.24,7.929205698,11319.68,9990360,10967987.62,13.1329118,8671.5,8681.55,8541.35,8573.35
2016-10-14,NIFTY,128438,9632850,8279.69,1876409,140730675,121963.67,130243.36,20518.22,6.347692929,9547.69,7896477,11021299.16,14.73046334,8594,8604.45,8549.8,8583.4
2016-10-17,NIFTY,154474,11585550,9905.23,2210498,165787350,143371.56,153276.79,20841.39,7.35444181,10790.82,8412017,10944038.53,14.47432922,8612.95,8615.4,8506.15,8520.4
2016-10-18,NIFTY,177181,13288575,11464.56,2835742,212680650,183835.4,195299.96,21930.94,8.905225221,10792.1,8469924,11106743.04,16.03510296,8556.05,8685.1,8555.9,8677.9
2016-10-19,NIFTY,114826,8611950,7468.81,1967928,147594600,128459.02,135927.83,23090.6,5.886717106,11384.1,8894469,11128649.4,17.19939589,8697.5,8698.75,8636.7,8659.1
2016-10-20,NIFTY,137583,10318725,8988.85,2158693,161901975,141140.28,150129.13,20517.52,7.317118736,11624.65,8222223,11169790.07,15.701706,8693.35,8727,8678.3,8699.4
2016-10-21,NIFTY,120956,9071700,7880.31,2363478,177260850,154416.56,162296.87,20280.97,8.002421482,11245.96,7787311,11182809.24,19.59523927,8708.6,8709.1,8652.05,8693.05
2016-10-24,NIFTY,159205,11940375,10429.95,2687294,201547050,175930.17,186360.12,18598.53,10.02015321,10823.4,7544651,11211244.42,16.86778652,8709.85,8736.95,8684.15,8708.95
2016-10-25,NIFTY,237272,17795400,15491.57,3192458,239434350,209119.21,224610.78,20503.19,10.95491872,10844.17,7929498,11196977.54,13.4989036,8721.7,8722.65,8663.45,8691.3
2016-10-26,NIFTY,266680,20001000,17300.95,4289038,321677850,280041.76,297342.71,22791.19,13.0463881,11919.41,8764519,11116189.95,16.18649612,8657.3,8657.3,8596.6,8615.25
2016-10-27,NIFTY,349751,26231325,22571.48,6834112,512558400,442035.63,464607.11,26858.34,17.29842984,12851.94,8601678,11064011.24,19.5838124,8607.1,8624.85,8550.25,8615.25
2016-10-28,NIFTY,136268,10220100,8844.42,1178100,88357500,76869.94,85714.36,21596.22,3.968951974,10831.73,7975730,11131478.18,8.691348896,8625,8653.75,8581.75,8638
2016-11-01,NIFTY,113568,8517600,7383.08,1074517,80588775,70238.63,77621.71,20891.56,3.715457821,10102.74,8673200,11166375.09,9.513459153,8653.15,8669.6,8614.5,8626.25
2016-11-02,NIFTY,142321,10674075,9133.4,1504571,112842825,97490.61,106624.01,18578.25,5.739184799,9475.88,8179642,10993729.93,10.67407647,8542.8,8549.5,8504.85,8514
2016-11-03,NIFTY,125816,9436200,8056.5,1373216,102991200,88939.02,96995.52,19600.49,4.948627305,9813.4,8457283,10907572.8,11.03941166,8499.85,8537.65,8476.15,8484.95
2016-11-04,NIFTY,173857,13039275,11055.15,2039200,152940000,131110.66,142165.81,23946.66,5.936769888,11004.38,9202071,10777140.28,11.85969073,8503.6,8504,8400.25,8433.75
