Date,Symbol,Futures Contracts,Futures Quantity,Futures Value (Rs. In Crs.),Options Contracts,Options Quantity,Options Value (Rs. In Crs.),Total Overall Value (Rs. In Crs.),Equity Traded Value (Rs. In Crs.),Equity Traded Quantity (in Lakhs),Equity Number of Trades,Equity Total Market Cap (Rs. Crs.)
2016-01-08,NIFTY,153668,11525100,8779.21,2128620,159646500,123457.97,132237.18,15936.7,9455.3,7285041,9555746.84
2016-01-08,NIFTYIT,122,5490,6.02,3,135,0.15,6.17,15936.7,9455.3,7285041,9555746.84
2016-01-08,S&P500,200,50000,9.81,0,0,0.00,9.81,15936.7,9455.3,7285041,9555746.84
2016-01-11,BANKNIFTY,118793,3563790,5704.09,367361,11020830,17994.59,23698.68,16359.76,10682.44,7547729,9491205.95
2016-01-11,DJIA,1571,47130,76.97,0,0,0.00,76.97,16359.76,10682.44,7547729,9491205.95
2016-01-11,NIFTY,207525,15564375,11765.46,2915990,218699250,167842.80,179608.26,16359.76,10682.44,7547729,9491205.95
2016-01-11,NIFTYIT,209,9405,10.21,2,90,0.10,10.31,16359.76,10682.44,7547729,9491205.95
2016-01-11,S&P500,1287,321750,61.85,0,0,0.00,61.85,16359.76,10682.44,7547729,9491205.95
2016-01-12,BANKNIFTY,118056,3541680,5613.64,408687,12260610,19871.51,25485.15,16146.73,9691,7669046,9426744.68
2016-01-12,DJIA,759,22770,37.24,0,0,0.00,37.24,16146.73,9691,7669046,9426744.68
2016-01-12,NIFTY,163651,12273825,9249.64,2248623,168646725,129159.72,138409.36,16146.73,9691,7669046,9426744.68
2016-01-12,NIFTYIT,388,17460,18.73,6,270,0.29,19.02,16146.73,9691,7669046,9426744.68
2016-01-12,S&P500,266,66500,12.77,0,0,0.00,12.77,16146.73,9691,7669046,9426744.68
2016-01-13,BANKNIFTY,168372,5051160,7966.32,673671,20210130,32540.81,40507.13,22575.92,14442.94,9318253,9397885.42
2016-01-13,DJIA,1446,43380,71.81,0,0,0.00,71.81,22575.92,14442.94,9318253,9397885.42
2016-01-13,NIFTY,313831,23537325,17722.27,4602985,345223875,264216.92,281939.19,22575.92,14442.94,9318253,9397885.42
2016-01-13,NIFTYIT,306,13770,14.84,10,450,0.49,15.33,22575.92,14442.94,9318253,9397885.42
2016-01-13,S&P500,1057,264250,51.43,0,0,0.00,51.43,22575.92,14442.94,9318253,9397885.42
2016-01-14,BANKNIFTY,137706,4131180,6451.69,538736,16162080,25794.78,32246.47,18544.38,10199.69,8025026,9331075.38
2016-01-14,DJIA,1187,35610,57.61,0,0,0.00,57.61,18544.38,10199.69,8025026,9331075.38
2016-01-14,NIFTY,274327,20574525,15495.71,3695383,277153725,210863.63,226359.34,18544.38,10199.69,8025026,9331075.38
2016-01-14,NIFTYIT,368,16560,18.13,13,585,0.64,18.77,18544.38,10199.69,8025026,9331075.38
2016-01-14,S&P500,920,230000,43.57,0,0,0.00,43.57,18544.38,10199.69,8025026,9331075.38
2016-01-15,BANKNIFTY,111520,3345600,5157.68,478077,14342310,22779.42,27937.10,17547.65,9905.16,7435337,9141855.24
2016-01-15,DJIA,395,11850,19.15,0,0,0.00,19.15,17547.65,9905.16,7435337,9141855.24
2016-01-15,FTSE100,4,300,0.18,0,0,0.00,0.18,17547.65,9905.16,7435337,9141855.24
2016-01-15,NIFTY,205084,15381300,11533.72,3076885,230766375,175616.53,187150.25,17547.65,9905.16,7435337,9141855.24
2016-01-15,NIFTYIT,134,6030,6.63,0,0,0.00,6.63,17547.65,9905.16,7435337,9141855.24
2016-01-15,S&P500,922,230500,43.83,0,0,0.00,43.83,17547.65,9905.16,7435337,9141855.24
2016-01-18,BANKNIFTY,144985,4349550,6593.85,656715,19701450,30708.74,37302.59,18381.85,10960.37,8657849,8947415.22
2016-01-18,DJIA,174,5220,8.38,0,0,0.00,8.38,18381.85,10960.37,8657849,8947415.22
2016-01-18,FTSE100,4,300,0.17,0,0,0.00,0.17,18381.85,10960.37,8657849,8947415.22
2016-01-18,NIFTY,217759,16331925,12119.89,3762926,282219450,213252.46,225372.35,18381.85,10960.37,8657849,8947415.22
2016-01-18,NIFTYIT,159,7155,7.89,0,0,0.00,7.89,18381.85,10960.37,8657849,8947415.22
2016-01-18,S&P500,481,120250,22.70,0,0,0.00,22.70,18381.85,10960.37,8657849,8947415.22
2016-01-19,BANKNIFTY,114454,3433620,5239.16,480675,14420250,22366.98,27606.14,16294.67,9448.31,7683418,9054612.14
2016-01-19,DJIA,318,9540,15.43,0,0,0.00,15.43,16294.67,9448.31,7683418,9054612.14
2016-01-19,NIFTY,196688,14751600,10958.68,3344312,250823400,188631.22,199589.90,16294.67,9448.31,7683418,9054612.14
2016-01-19,NIFTYIT,201,9045,9.91,0,0,0.00,9.91,16294.67,9448.31,7683418,9054612.14
2016-01-19,S&P500,401,100250,19.09,0,0,0.00,19.09,16294.67,9448.31,7683418,9054612.14
2016-01-20,BANKNIFTY,141737,4252110,6324.01,701177,21035310,32106.80,38430.81,18064.1,10252.83,8611278,8876677.03
2016-01-20,DJIA,1866,55980,87.92,0,0,0.00,87.92,18064.1,10252.83,8611278,8876677.03
2016-01-20,NIFTY,258965,19422375,14176.72,4539581,340468575,252463.13,266639.85,18064.1,10252.83,8611278,8876677.03
2016-01-20,NIFTYIT,160,7200,7.83,0,0,0.00,7.83,18064.1,10252.83,8611278,8876677.03
2016-01-20,S&P500,1736,434000,80.27,0,0,0.00,80.27,18064.1,10252.83,8611278,8876677.03
2016-01-21,BANKNIFTY,186872,5606160,8483.10,870596,26117880,39899.45,48382.55,18082.19,10277.29,7956017,8836083.53
2016-01-21,DJIA,1134,34020,53.68,0,0,0.00,53.68,18082.19,10277.29,7956017,8836083.53
2016-01-21,NIFTY,292615,21946125,16059.19,5072788,380459100,281825.27,297884.46,18082.19,10277.29,7956017,8836083.53
2016-01-21,NIFTYIT,150,6750,7.39,2,90,0.10,7.49,18082.19,10277.29,7956017,8836083.53
2016-01-21,S&P500,612,153000,28.52,0,0,0.00,28.52,18082.19,10277.29,7956017,8836083.53
2016-01-22,BANKNIFTY,158812,4764360,7366.57,894425,26832750,41693.70,49060.27,17412.42,9058.9,7976883,9009932.84
2016-01-22,DJIA,1157,34710,55.27,0,0,0.00,55.27,17412.42,9058.9,7976883,9009932.84
2016-01-22,NIFTY,255347,19151025,14180.47,4348304,326122800,243098.31,257278.78,17412.42,9058.9,7976883,9009932.84
2016-01-22,NIFTYIT,125,5625,6.19,0,0,0.00,6.19,17412.42,9058.9,7976883,9009932.84
2016-01-22,S&P500,269,67250,12.64,0,0,0.00,12.64,17412.42,9058.9,7976883,9009932.84
2016-01-25,BANKNIFTY,125135,3754050,5838.27,683184,20495520,32019.67,37857.94,13705.8,7142.53,7033104,9043622.92
2016-01-25,DJIA,298,8940,14.33,0,0,0.00,14.33,13705.8,7142.53,7033104,9043622.92
2016-01-25,NIFTY,281631,21122325,15746.25,4313861,323539575,242342.89,258089.14,13705.8,7142.53,7033104,9043622.92
2016-01-25,NIFTYIT,177,7965,8.81,1,45,0.05,8.86,13705.8,7142.53,7033104,9043622.92
2016-01-25,S&P500,515,128750,24.49,0,0,0.00,24.49,13705.8,7142.53,7033104,9043622.92
2016-01-27,BANKNIFTY,167827,5034810,7806.92,882265,26467950,41291.27,49098.19,15222.75,7620.35,7101711,9065453.54
2016-01-27,DJIA,169,5070,8.13,0,0,0.00,8.13,15222.75,7620.35,7101711,9065453.54
2016-01-27,NIFTY,355336,26650200,19834.21,4707751,353081325,264489.77,284323.98,15222.75,7620.35,7101711,9065453.54
2016-01-27,NIFTYIT,551,24795,27.42,0,0,0.00,27.42,15222.75,7620.35,7101711,9065453.54
2016-01-27,S&P500,223,55750,10.53,0,0,0.00,10.53,15222.75,7620.35,7101711,9065453.54
2016-01-28,BANKNIFTY,179270,5378100,8324.52,1311328,39339840,61371.01,69695.53,20783.04,11483.1,7255679,9061635.71
2016-01-28,DJIA,288,8640,13.78,0,0,0.00,13.78,20783.04,11483.1,7255679,9061635.71
2016-01-28,NIFTY,307541,23065575,17169.58,6336485,475236375,355671.54,372841.12,20783.04,11483.1,7255679,9061635.71
