Date,Symbol,No of Contracts Traded,Traded Quantity,Total Traded Value (Rs. In Crs.)
2016-03-14,BANKNIFTY,365676,10970280,16903.25
2016-03-14,NIFTY,2351084,176331300,133552.69
2016-03-14,NIFTYIT,1,45,0.05
2016-03-15,BANKNIFTY,331083,9932490,15332.07
2016-03-15,NIFTY,2285931,171444825,129442.50
2016-03-16,BANKNIFTY,540283,16208490,25020.48
2016-03-16,NIFTY,2954324,221574300,166650.44
2016-03-16,NIFTYIT,9,405,0.45
2016-03-17,BANKNIFTY,652616,19578480,30589.79
2016-03-17,NIFTY,3488229,261617175,197910.96
2016-03-17,NIFTYIT,1,45,0.05
2016-03-18,BANKNIFTY,559289,16778670,26218.65
2016-03-18,NIFTY,3877729,290829675,219863.58
2016-03-21,BANKNIFTY,640942,19228260,30290.13
2016-03-21,NIFTY,3846873,288515475,220087.65
2016-03-22,BANKNIFTY,680344,20410320,32461.69
2016-03-22,NIFTY,3901256,292594200,225049.25
2016-03-23,BANKNIFTY,631701,18951030,30121.35
2016-03-23,NIFTY,3645059,273379425,210247.69
2016-03-23,NIFTYIT,4,180,0.20
2016-03-28,BANKNIFTY,855838,25675140,40709.71
2016-03-28,NIFTY,4208464,315634800,242987.59
2016-03-29,BANKNIFTY,889317,26679510,42128.51
2016-03-29,NIFTY,5213831,391037325,299735.20
2016-03-30,BANKNIFTY,1413608,42408240,67721.93
2016-03-30,NIFTY,5745720,430929000,332586.89
2016-03-31,BANKNIFTY,2026438,60793140,98445.15
2016-03-31,NIFTY,7298810,547410750,425255.75
2016-04-01,BANKNIFTY,225376,6761280,11009.42
2016-04-01,NIFTY,1936651,145248825,113118.54
2016-04-04,BANKNIFTY,240076,7202280,11816.39
2016-04-04,NIFTY,1346230,100967250,78891.73
2016-04-04,NIFTYIT,5,225,0.26
2016-04-05,BANKNIFTY,646396,19391880,31517.88
2016-04-05,NIFTY,3153055,236479125,184054.52
2016-04-05,NIFTYIT,1,45,0.05
2016-04-06,BANKNIFTY,318714,9561420,15300.01
2016-04-06,NIFTY,1981856,148639200,114816.16
2016-04-07,BANKNIFTY,472922,14187660,22664.97
2016-04-07,NIFTY,2490643,186798225,143568.53
2016-04-07,NIFTYIT,3,135,0.15
2016-04-08,BANKNIFTY,346257,10387710,16525.43
2016-04-08,NIFTY,1911621,143371575,109863.80
2016-04-11,BANKNIFTY,431372,12941160,20554.30
2016-04-11,NIFTY,2810977,210823275,161743.58
2016-04-12,BANKNIFTY,345082,10352460,16607.06
2016-04-12,NIFTY,2425524,181914300,140589.21
2016-04-13,BANKNIFTY,565781,16973430,27729.27
2016-04-13,NIFTY,3511150,263336250,206364.83
2016-04-13,NIFTYIT,1,45,0.05
2016-04-18,BANKNIFTY,406191,12185730,19920.73
2016-04-18,NIFTY,2687439,201557925,158834.51
2016-04-18,NIFTYIT,11,495,0.57
2016-04-20,BANKNIFTY,488832,14664960,23916.00
2016-04-20,NIFTY,3624462,271834650,215377.20
2016-04-21,BANKNIFTY,745723,22371690,37167.24
2016-04-21,NIFTY,3623925,271794375,215668.74
2016-04-22,BANKNIFTY,609882,18296460,30450.87
2016-04-22,NIFTY,3287849,246588675,195295.22
2016-04-25,BANKNIFTY,612137,18364110,30619.82
2016-04-25,NIFTY,4090367,306777525,242388.52
2016-04-26,BANKNIFTY,1013036,30391080,51067.98
2016-04-26,NIFTY,5686019,426451425,338106.46
2016-04-26,NIFTYIT,4,180,0.20
2016-04-27,BANKNIFTY,872969,26189070,44383.90
2016-04-27,NIFTY,4547023,341026725,272226.82
2016-04-28,BANKNIFTY,1941777,58253310,98372.71
2016-04-28,NIFTY,8992474,674435550,536382.29
2016-04-29,BANKNIFTY,316003,9480090,16087.49
2016-04-29,NIFTY,2340116,175508700,139023.71
2016-05-02,BANKNIFTY,239877,7196310,12146.91
2016-05-02,NIFTY,1699091,127431825,101026.11
2016-05-03,BANKNIFTY,331021,9930630,16718.35
2016-05-03,NIFTY,2965844,222438300,176348.55
2016-05-04,BANKNIFTY,271881,8156430,13614.90
2016-05-04,NIFTY,2084797,156359775,123136.79
2016-05-05,BANKNIFTY,268326,8049780,13408.13
2016-05-05,NIFTY,2119651,158973825,125089.36
2016-05-06,BANKNIFTY,241863,7255890,12065.24
2016-05-06,NIFTY,2090987,156824025,122885.94
2016-05-09,BANKNIFTY,329771,9893130,16546.15
2016-05-09,NIFTY,2555796,191684700,151246.08
2016-05-10,BANKNIFTY,294258,8827740,14905.31
2016-05-10,NIFTY,2047581,153568575,121478.31
2016-05-11,BANKNIFTY,501050,15031500,25426.89
2016-05-11,NIFTY,3342075,250655625,198130.03
2016-05-12,BANKNIFTY,350436,10513080,17911.59
2016-05-12,NIFTY,2662278,199670850,158191.33
2016-05-13,BANKNIFTY,469097,14072910,23777.91
2016-05-13,NIFTY,3402248,255168600,201238.68
2016-05-16,BANKNIFTY,497358,14920740,25034.50
2016-05-16,NIFTY,3126658,234499350,184935.98
2016-05-17,BANKNIFTY,407319,12219570,20731.98
2016-05-17,NIFTY,3009907,225743025,179168.45
2016-05-18,BANKNIFTY,444812,13344370,22490.30
2016-05-18,NIFTY,3437739,257830425,203934.94
2016-05-19,BANKNIFTY,466657,13999710,23597.40
2016-05-19,NIFTY,3933888,295041600,232969.36
2016-05-20,BANKNIFTY,559775,16793310,28088.27
2016-05-20,NIFTY,3883600,291270000,228878.95
2016-05-23,BANKNIFTY,793476,23804280,39599.90
2016-05-23,NIFTY,4640417,348031275,272986.30
2016-05-24,BANKNIFTY,794460,23833800,39451.24
2016-05-24,NIFTY,4107978,308098350,240283.45
2016-05-25,BANKNIFTY,1303142,39094800,65807.45
2016-05-25,NIFTY,6812043,510903225,403125.75
2016-05-26,BANKNIFTY,1810532,54316290,92762.44
2016-05-26,NIFTY,8123251,609243825,486799.28
2016-05-27,BANKNIFTY,261758,7853040,13775.76
2016-05-27,NIFTY,2157110,161783250,132352.17
2016-05-30,BANKNIFTY,249991,7499810,13175.56
2016-05-30,NIFTY,1541653,115623975,94741.26
2016-05-31,BANKNIFTY,354030,10622450,18675.04
2016-05-31,NIFTY,1563317,117248775,96422.81
2016-06-01,BANKNIFTY,701684,21054260,36979.72
2016-06-01,NIFTY,1380068,103505100,85132.99
2016-06-02,BANKNIFTY,1657649,49730330,87053.97
2016-06-02,NIFTY,1441075,108080625,88909.25
2016-06-03,BANKNIFTY,336572,10097970,17875.97
2016-06-03,NIFTY,1274346,95575950,78865.85
2016-06-06,BANKNIFTY,361751,10853640,19220.12
