Date,Symbol,No of Contracts Traded,Traded Quantity,Total Traded Value (Rs. In Crs.)
2019-02-28,BANKNIFTY,16969551,339391020,914319.21
2019-02-28,NIFTY,7250998,543824850,589672.64
2019-03-01,BANKNIFTY,3178379,63567580,172242.10
2019-03-01,NIFTY,1777505,133312875,145293.86
2019-03-05,BANKNIFTY,8292576,165851520,452789.20
2019-03-05,NIFTY,3404885,255366375,279064.40
2019-03-06,BANKNIFTY,10625696,212513920,586009.72
2019-03-06,NIFTY,3888187,291614025,321321.43
2019-03-07,BANKNIFTY,21460594,429211880,1188494.78
2019-03-07,NIFTY,5001998,375149850,414933.26
2019-03-08,BANKNIFTY,5089363,101787260,283099.49
2019-03-08,NIFTY,1973547,148016025,163846.54
2019-03-11,BANKNIFTY,5987120,119742400,335509.84
2019-03-11,NIFTY,2895594,217169550,241788.45
2019-03-11,NIFTYIT,162,8100,12.64
2019-03-12,BANKNIFTY,9206260,184125200,521041.23
2019-03-12,NIFTY,4319026,323926950,364668.90
2019-03-12,NIFTYIT,76,3800,5.95
2019-03-13,BANKNIFTY,14473896,289477920,830675.43
2019-03-13,NIFTY,4119822,308986650,349756.59
2019-03-13,NIFTYIT,67,3350,5.17
2019-03-14,BANKNIFTY,25256951,505139020,1464243.86
2019-03-14,NIFTY,4955122,371634150,421488.59
2019-03-14,NIFTYIT,313,15650,23.73
2019-03-15,BANKNIFTY,7387814,147756280,434738.81
2019-03-15,NIFTY,3435544,257665800,294983.02
2019-03-15,NIFTYIT,36,1800,2.81
2019-03-18,BANKNIFTY,9558760,191175200,567114.44
2019-03-18,NIFTY,4041597,303119775,348319.09
2019-03-18,NIFTYIT,12,600,0.94
2019-03-19,BANKNIFTY,10248118,204962360,609817.71
2019-03-19,NIFTY,3847902,288592650,331958.04
2019-03-19,NIFTYIT,35,1750,2.74
2019-03-20,BANKNIFTY,22712328,454246560,1353813.46
2019-03-20,NIFTY,4584131,343809825,396087.09
2019-03-20,NIFTYIT,609,30450,47.92
2019-03-22,BANKNIFTY,6996115,139922300,418215.64
2019-03-22,NIFTY,3692518,276938850,319216.42
2019-03-22,NIFTYIT,1,50,0.08
2019-03-25,BANKNIFTY,6105859,122117180,360414.94
2019-03-25,NIFTY,3536879,265265925,304237.60
2019-03-25,NIFTYIT,4,200,0.32
2019-03-26,BANKNIFTY,9821493,196429860,582683.08
2019-03-26,NIFTY,4356954,326771550,374073.99
2019-03-26,NIFTYIT,6,300,0.47
2019-03-27,BANKNIFTY,15401972,308039440,928209.87
2019-03-27,NIFTY,6489119,486683925,560370.02
2019-03-27,NIFTYIT,1,50,0.08
2019-03-28,BANKNIFTY,23593055,471861100,1428127.07
2019-03-28,NIFTY,7007793,525584475,605718.28
2019-03-28,NIFTYIT,6,300,0.48
2019-03-29,BANKNIFTY,3623133,72462660,220996.40
2019-03-29,NIFTY,1943528,145764600,169985.79
2019-04-01,BANKNIFTY,4807632,96152640,294508.71
2019-04-01,NIFTY,2566611,192495825,225811.69
2019-04-01,NIFTYIT,2,100,0.16
2019-04-02,BANKNIFTY,6803250,136065000,414520.29
2019-04-02,NIFTY,2599907,194993025,228712.00
2019-04-02,NIFTYIT,4,200,0.32
2019-04-03,BANKNIFTY,9027122,180542440,551446.64
2019-04-03,NIFTY,3596020,269701500,317106.45
2019-04-03,NIFTYIT,4,200,0.32
2019-04-04,BANKNIFTY,27033010,540660200,1632745.14
2019-04-04,NIFTY,5658386,424378950,495497.60
2019-04-04,NIFTYIT,59,2950,4.73
2019-04-05,BANKNIFTY,5518678,110373560,333018.16
2019-04-05,NIFTY,2224359,166826925,195414.31
2019-04-05,NIFTYIT,15,750,1.22
2019-04-08,BANKNIFTY,6892962,137859240,415580.85
2019-04-08,NIFTY,3177999,238349925,279279.39
2019-04-08,NIFTYIT,11,550,0.89
2019-04-09,BANKNIFTY,9295118,185902360,558791.89
2019-04-09,NIFTY,3518995,263924625,308362.47
2019-04-09,NIFTYIT,18,900,1.46
2019-04-10,BANKNIFTY,11650178,233003560,702019.80
2019-04-10,NIFTY,3983452,298758900,349419.55
2019-04-10,NIFTYIT,33,1650,2.68
2019-04-11,BANKNIFTY,24406350,488127000,1458372.42
2019-04-11,NIFTY,5081596,381119700,443174.51
2019-04-11,NIFTYIT,121,6050,9.75
2019-04-12,BANKNIFTY,4652470,93049400,279107.74
2019-04-12,NIFTY,2322433,174182475,203376.59
2019-04-12,NIFTYIT,1,50,0.08
2019-04-15,BANKNIFTY,5424095,108481900,327020.27
2019-04-15,NIFTY,2276236,170717700,199676.48
2019-04-15,NIFTYIT,3,150,0.24
2019-04-16,BANKNIFTY,9773173,195463460,594653.84
2019-04-16,NIFTY,3775010,283125750,333291.64
2019-04-18,BANKNIFTY,25260233,505204660,1539140.65
2019-04-18,NIFTY,5470199,410264925,483576.94
2019-04-22,BANKNIFTY,6226463,124529260,375125.96
2019-04-22,NIFTY,3442028,258152100,303307.14
2019-04-22,NIFTYIT,1,50,0.08
2019-04-23,BANKNIFTY,10336428,206728560,618141.49
2019-04-23,NIFTY,4244221,318316575,372043.43
2019-04-23,NIFTYIT,2,100,0.16
2019-04-24,BANKNIFTY,12315067,246301340,732700.09
2019-04-24,NIFTY,5251328,393849600,460067.06
2019-04-24,NIFTYIT,10,500,0.81
2019-04-25,BANKNIFTY,26886031,537720620,1611641.42
2019-04-25,NIFTY,7760140,582010500,684778.76
2019-04-25,NIFTYIT,3,150,0.25
2019-04-26,BANKNIFTY,7116555,142331100,425415.89
2019-04-26,NIFTY,2361003,177075225,208138.51
2019-04-26,NIFTYIT,3,150,0.25
2019-04-30,BANKNIFTY,12038269,240765380,719509.95
2019-04-30,NIFTY,4039564,302967300,356126.89
2019-04-30,NIFTYIT,1,50,0.08
2019-05-02,BANKNIFTY,26033391,520667820,1555107.58
2019-05-02,NIFTY,6347245,476043375,560152.47
2019-05-03,BANKNIFTY,6139961,122799220,369373.87
2019-05-03,NIFTY,2127619,159571425,188515.51
2019-05-03,NIFTYIT,4,200,0.33
2019-05-06,BANKNIFTY,5971945,119438900,356659.15
2019-05-06,NIFTY,2751609,206370675,241831.76
2019-05-07,BANKNIFTY,8981742,179634840,535429.87
2019-05-07,NIFTY,3977105,298282875,348214.27
2019-05-07,NIFTYIT,3,150,0.25
2019-05-08,BANKNIFTY,12652248,253044960,742555.08
2019-05-08,NIFTY,5631079,422330925,487274.81
2019-05-08,NIFTYIT,2,100,0.16
2019-05-09,BANKNIFTY,23846093,476921860,1386052.91
2019-05-09,NIFTY,7864472,589835400,671474.02
2019-05-09,NIFTYIT,5,250,0.41
2019-05-10,BANKNIFTY,5390980,107819600,315204.38
2019-05-10,NIFTY,2937721,220329075,251239.65
2019-05-10,NIFTYIT,3,150,0.24
2019-05-13,BANKNIFTY,5707282,114145640,332494.10
2019-05-13,NIFTY,3406822,255511650,290147.02
2019-05-14,BANKNIFTY,9099271,181985420,527250.65
2019-05-14,NIFTY,5095584,382168800,430994.46
2019-05-15,BANKNIFTY,11108655,222173100,643298.17
2019-05-15,NIFTY,6030393,452279475,510582.62
2019-05-15,NIFTYIT,2,100,0.16
2019-05-16,BANKNIFTY,21852346,437046920,1257428.71
2019-05-16,NIFTY,7481284,561096300,630155.83
2019-05-17,BANKNIFTY,1149523,22990460,68318.15
2019-05-17,NIFTY,1632533,122439975,142384.87
2019-05-20,BANKNIFTY,2284480,45689600,139168.93
2019-05-20,NIFTY,3162949,237221175,280390.68
2019-05-21,BANKNIFTY,2390231,47804620,145429.43
2019-05-21,NIFTY,2888714,216653550,258416.10
2019-05-22,BANKNIFTY,2325768,46515360,141782.39
2019-05-22,NIFTY,2989410,224205750,267410.04
2019-05-23,BANKNIFTY,22228702,444574040,1375109.57
2019-05-23,NIFTY,11022655,826699125,984533.30
2019-05-24,BANKNIFTY,6722685,134453700,415655.07
2019-05-24,NIFTY,4524906,339367950,402305.53
2019-05-27,BANKNIFTY,6149666,122993320,385537.01
2019-05-27,NIFTY,3490115,261758625,312056.77
2019-05-28,BANKNIFTY,7699725,153994500,484867.11
2019-05-28,NIFTY,4035361,302652075,361052.81
2019-05-29,BANKNIFTY,8731449,174628980,549536.61
2019-05-29,NIFTY,4280393,321029475,383170.71
2019-05-30,BANKNIFTY,24246673,484933460,1527957.67
2019-05-30,NIFTY,7070216,530266200,632826.03
2019-05-31,BANKNIFTY,6271328,125426560,395858.90
2019-05-31,NIFTY,3832872,287465400,344296.43
2019-06-03,BANKNIFTY,6448346,128966920,406498.32
2019-06-03,NIFTY,3873936,290545200,348857.42
2019-06-03,NIFTYIT,5,250,0.40
2019-06-04,BANKNIFTY,7693653,153873060,487438.08
2019-06-04,NIFTY,4060070,304505250,366970.97
2019-06-04,NIFTYIT,4,200,0.32
2019-06-06,BANKNIFTY,26112215,522244300,1635553.18
2019-06-06,NIFTY,7998074,599855550,718383.11
2019-06-06,NIFTYIT,1,50,0.08
2019-06-07,BANKNIFTY,7946868,158937360,494216.35
2019-06-07,NIFTY,3859267,289445025,344089.11
2019-06-10,BANKNIFTY,8423204,168464080,524740.30
2019-06-10,NIFTY,3723679,279275925,333679.38
2019-06-11,BANKNIFTY,8290479,165809580,517477.72
2019-06-11,NIFTY,3543129,265734675,318060.06
2019-06-12,BANKNIFTY,10124111,202482220,629942.60
2019-06-12,NIFTY,4639067,347930025,415517.58
2019-06-13,BANKNIFTY,28600216,572004320,1768938.20
2019-06-13,NIFTY,6783765,508782375,605291.23
2019-06-14,BANKNIFTY,6675395,133507900,412772.57
2019-06-14,NIFTY,2848955,213671625,254918.21
2019-06-17,BANKNIFTY,6181324,123626480,378410.01
2019-06-17,NIFTY,3699334,277450050,328231.60
2019-06-18,BANKNIFTY,10265572,205311440,626363.60
2019-06-18,NIFTY,4914311,368573325,433163.34
2019-06-19,BANKNIFTY,12423093,248461860,758859.15
2019-06-19,NIFTY,7258628,544397100,640666.82
2019-06-20,BANKNIFTY,28034938,560698760,1715542.47
2019-06-20,NIFTY,8861905,664642875,781250.73
2019-06-21,BANKNIFTY,5570489,111409780,342828.74
2019-06-21,NIFTY,3450124,258759300,305892.51
2019-06-24,BANKNIFTY,5483603,109672060,337092.18
2019-06-24,NIFTY,3630638,272297850,321397.24
2019-06-25,BANKNIFTY,8393103,167862060,516146.65
2019-06-25,NIFTY,5126934,384520050,453412.25
2019-06-25,NIFTYIT,3,150,0.23
2019-06-26,BANKNIFTY,10670997,213419940,661843.95
2019-06-26,NIFTY,5476441,410733075,486392.62
2019-06-27,BANKNIFTY,27707972,554159440,1734163.85
2019-06-27,NIFTY,7842253,588168975,698020.31
2019-06-28,BANKNIFTY,4950000,99000000,310152.36
2019-06-28,NIFTY,2447493,183561975,218459.00
2019-07-01,BANKNIFTY,4779173,95583460,300211.80
2019-07-01,NIFTY,2389011,179175825,213192.13
2019-07-02,BANKNIFTY,8601234,172024680,539652.60
2019-07-02,NIFTY,3861282,289596150,344774.79
2019-07-03,BANKNIFTY,9194078,183881560,577963.84
2019-07-03,NIFTY,3631614,272371050,325088.01
2019-07-04,BANKNIFTY,21893263,437865260,1381146.29
2019-07-04,NIFTY,5634386,422578950,504572.18
2019-07-05,BANKNIFTY,7076564,141531280,447383.23
2019-07-05,NIFTY,5165725,387429375,464379.77
2019-07-08,BANKNIFTY,8290332,165806640,515704.98
2019-07-08,NIFTY,5804213,435315975,512032.08
2019-07-09,BANKNIFTY,8825271,176505420,542136.00
2019-07-09,NIFTY,5382584,403693800,469392.22
2019-07-10,BANKNIFTY,10606300,212126000,650658.98
2019-07-10,NIFTY,6052112,453908400,526230.18
2019-07-11,BANKNIFTY,20886564,417731280,1283012.60
2019-07-11,NIFTY,6446982,483523650,560372.22
2019-07-12,BANKNIFTY,5342578,106851560,328807.54
2019-07-12,NIFTY,3568785,267658875,311625.04
2019-07-15,BANKNIFTY,6052560,121051200,370081.50
2019-07-15,NIFTY,3405049,255378675,296476.05
2019-07-16,BANKNIFTY,6946544,138930880,425575.30
2019-07-16,NIFTY,3846499,288487425,336005.28
2019-07-17,BANKNIFTY,8915919,178318380,547909.18
2019-07-17,NIFTY,4120444,309033300,360940.59
2019-07-18,BANKNIFTY,21074213,421484260,1292169.04
2019-07-18,NIFTY,6021322,451599150,527019.52
2019-07-18,NIFTYIT,1,50,0.08
2019-07-19,BANKNIFTY,8425684,168513680,510518.52
2019-07-19,NIFTY,5114777,383608275,444744.71
2019-07-22,BANKNIFTY,7825151,156503020,463962.85
2019-07-22,NIFTY,4752699,356452425,408588.83
2019-07-23,BANKNIFTY,9821901,196438020,578701.77
2019-07-23,NIFTY,5189637,389222775,444607.17
2019-07-24,BANKNIFTY,12361509,247230180,722367.60
2019-07-24,NIFTY,7364336,552325200,626936.47
2019-07-25,BANKNIFTY,25563819,511276380,1491759.20
2019-07-25,NIFTY,10237359,767801925,870346.64
2019-07-26,BANKNIFTY,5434854,108697080,319405.46
2019-07-26,NIFTY,3285666,246424950,279534.70
2019-07-29,BANKNIFTY,7110633,142212660,418379.63
2019-07-29,NIFTY,4445359,333401925,377058.18
2019-07-30,BANKNIFTY,11774893,235497860,691187.85
2019-07-30,NIFTY,6478112,485858400,546989.34
2019-07-31,BANKNIFTY,13041883,260837660,753858.13
2019-07-31,NIFTY,7810704,585802800,653172.88
2019-08-01,BANKNIFTY,31799190,635983800,1822390.36
2019-08-01,NIFTY,10355482,776661150,859171.65
2019-08-01,NIFTYIT,1,50,0.08
2019-08-02,BANKNIFTY,8285322,165706440,473597.22
2019-08-02,NIFTY,6301577,472618275,522488.61
2019-08-05,BANKNIFTY,7111902,142238040,400385.79
2019-08-05,NIFTY,5314493,398586975,437204.01
2019-08-06,BANKNIFTY,7509444,150188880,422407.78
2019-08-06,NIFTY,5174075,388055625,426881.49
2019-08-07,BANKNIFTY,14661804,293236080,823605.90
2019-08-07,NIFTY,7149051,536178825,589182.31
2019-08-08,BANKNIFTY,32730215,654604300,1825607.20
2019-08-08,NIFTY,10015353,751151475,822461.09
2019-08-09,BANKNIFTY,6198678,123973560,353802.34
2019-08-09,NIFTY,4608482,345636150,386262.50
2019-08-13,BANKNIFTY,11471818,229436360,646990.87
2019-08-13,NIFTY,6832161,512412075,568823.84
2019-08-14,BANKNIFTY,26382011,527640220,1477108.57
2019-08-14,NIFTY,10361785,777133875,858374.28
2019-08-16,BANKNIFTY,6606559,132131180,372671.78
2019-08-16,NIFTY,4175550,313166250,347142.71
2019-08-19,BANKNIFTY,7270950,145419000,413519.15
2019-08-19,NIFTY,4314712,323603400,360016.21
2019-08-20,BANKNIFTY,9343052,186861040,526405.81
2019-08-20,NIFTY,5154403,386580225,428803.00
2019-08-21,BANKNIFTY,12461450,249229000,699304.22
2019-08-21,NIFTY,6095552,457166400,505497.28
2019-08-22,BANKNIFTY,28308574,566171480,1564263.30
2019-08-22,NIFTY,9915644,743673300,812063.46
2019-08-23,BANKNIFTY,7801859,156037180,426844.74
2019-08-23,NIFTY,5520157,414011775,450583.08
2019-08-26,BANKNIFTY,12089537,241790740,666872.64
2019-08-26,NIFTY,7648395,573629625,630401.19
2019-08-27,BANKNIFTY,9875499,197509980,557090.64
2019-08-27,NIFTY,5843619,438271425,487665.36
2019-08-28,BANKNIFTY,12459630,249192600,698684.97
2019-08-28,NIFTY,6894618,517096350,574048.01
2019-08-29,BANKNIFTY,31179864,623597280,1725267.53
2019-08-29,NIFTY,10338365,775377375,855587.15
2019-08-30,BANKNIFTY,7103081,142061620,392877.58
2019-08-30,NIFTY,5028499,377137425,416927.44
2019-09-03,BANKNIFTY,7400980,148019600,404127.71
2019-09-03,NIFTY,5206669,390500175,429567.06
2019-09-04,BANKNIFTY,15030078,300601560,815639.64
2019-09-04,NIFTY,7061911,529643325,577048.61
2019-09-05,BANKNIFTY,32269129,645382580,1755632.94
2019-09-05,NIFTY,9708302,728122650,793686.42
2019-09-06,BANKNIFTY,5192089,103841780,283958.91
2019-09-06,NIFTY,3156125,236709375,259632.96
2019-09-09,BANKNIFTY,8349067,166981340,458664.38
2019-09-09,NIFTY,4982425,373681875,411237.80
2019-09-11,BANKNIFTY,10757204,215144080,596183.00
2019-09-11,NIFTY,4529470,339710250,375013.25
2019-09-12,BANKNIFTY,29749127,594982540,1665273.67
2019-09-12,NIFTY,8469473,635210475,702005.08
2019-09-13,BANKNIFTY,8071105,161422100,451059.33
2019-09-13,NIFTY,4222892,316716900,349746.39
2019-09-16,BANKNIFTY,8427391,168547820,473270.08
2019-09-16,NIFTY,5195672,389675400,431308.91
2019-09-17,BANKNIFTY,12171951,243439020,674922.69
2019-09-17,NIFTY,6792088,509406600,559855.50
2019-09-18,BANKNIFTY,14770527,295410540,809722.87
2019-09-18,NIFTY,6180669,463550175,505960.34
2019-09-19,BANKNIFTY,30861163,617223260,1670587.49
2019-09-19,NIFTY,9695035,727127625,785974.82
2019-09-20,BANKNIFTY,12793091,255861820,722445.18
2019-09-20,NIFTY,10956044,821703300,913903.90
2019-09-23,BANKNIFTY,8944411,178888220,543191.91
2019-09-23,NIFTY,7170627,537797025,620158.78
2019-09-24,BANKNIFTY,10462431,209248620,636768.41
2019-09-24,NIFTY,5580702,418552650,485833.92
2019-09-25,BANKNIFTY,12422315,248446300,744817.65
2019-09-25,NIFTY,6702949,502721175,578942.97
2019-09-26,BANKNIFTY,35066064,701321280,2127920.22
2019-09-26,NIFTY,10975350,823151250,950929.35
2019-09-27,BANKNIFTY,4847412,96948240,293589.71
2019-09-27,NIFTY,2989805,224235375,260206.84
2019-09-30,BANKNIFTY,8426868,168537360,499475.39
2019-09-30,NIFTY,4331151,324836325,375358.69
2019-10-01,BANKNIFTY,15981652,319633040,934464.34
2019-10-01,NIFTY,8807289,660546675,760044.75
2019-10-03,BANKNIFTY,32877535,657550700,1895343.58
2019-10-03,NIFTY,9261839,694637925,790298.92
2019-10-04,BANKNIFTY,7752923,155058460,444882.24
2019-10-04,NIFTY,4870606,365295450,416122.07
2019-10-07,BANKNIFTY,7493450,149869000,423286.38
2019-10-07,NIFTY,4105599,307919925,346944.54
2019-10-09,BANKNIFTY,14683153,293663060,833445.88
2019-10-09,NIFTY,7150061,536254575,603087.53
2019-10-10,BANKNIFTY,31494235,629884700,1795491.29
2019-10-10,NIFTY,7778870,583415250,657559.88
2019-10-11,BANKNIFTY,7063844,141276880,402118.22
2019-10-11,NIFTY,4864592,364844400,414758.82
2019-10-14,BANKNIFTY,6622006,132440120,378420.53
2019-10-14,NIFTY,4313964,323547300,368517.60
2019-10-15,BANKNIFTY,7810781,156215620,445934.99
2019-10-15,NIFTY,4421520,331614000,378011.49
2019-10-16,BANKNIFTY,11676031,233520620,669224.96
2019-10-16,NIFTY,5012909,375968175,430055.13
2019-10-17,BANKNIFTY,31643508,632870160,1830738.34
2019-10-17,NIFTY,8071337,605350275,695873.82
2019-10-18,BANKNIFTY,5247043,104940860,307489.64
2019-10-18,NIFTY,3438309,257873175,300280.50
2019-10-22,BANKNIFTY,7690010,153800200,454133.94
2019-10-22,NIFTY,4549148,341186100,397615.73
2019-10-23,BANKNIFTY,10881616,217632320,643165.48
2019-10-23,NIFTY,5607687,420576525,489677.83
2019-10-24,BANKNIFTY,32255772,645115440,1908575.80
2019-10-24,NIFTY,9296910,697268250,810209.71
2019-10-25,BANKNIFTY,6361985,127239700,373734.12
2019-10-25,NIFTY,4193915,314543625,366311.38
2019-10-29,BANKNIFTY,8413355,168267100,502834.33
2019-10-29,NIFTY,5648477,423635775,496628.12
2019-10-30,BANKNIFTY,10982329,219646580,660032.99
2019-10-30,NIFTY,5687663,426574725,503762.62
2019-10-31,BANKNIFTY,26703628,534072560,1615138.08
2019-10-31,NIFTY,8457346,634300950,753694.22
2019-11-01,BANKNIFTY,4627984,92559680,280786.74
2019-11-01,NIFTY,2530859,189814425,225286.34
2019-11-04,BANKNIFTY,6723041,134460820,410066.59
2019-11-04,NIFTY,3212125,240909375,287141.16
2019-11-05,BANKNIFTY,7777630,155552600,473109.06
2019-11-05,NIFTY,3827397,287054775,342203.54
2019-11-06,BANKNIFTY,14208135,284162700,865170.35
2019-11-06,NIFTY,6193828,464537100,555055.39
2019-11-07,BANKNIFTY,32731871,654637420,2011146.53
2019-11-07,NIFTY,8180922,613569150,735255.37
2019-11-08,BANKNIFTY,7039789,140795780,435175.37
2019-11-08,NIFTY,4283992,321299400,385858.50
2019-11-11,BANKNIFTY,7181310,143626200,444110.51
2019-11-11,NIFTY,4146780,311008500,370845.45
2019-11-13,BANKNIFTY,12601299,252025980,781258.31
2019-11-13,NIFTY,5276319,395723925,471949.98
2019-11-14,BANKNIFTY,36662686,733253720,2254824.30
2019-11-14,NIFTY,8898188,667364100,792498.85
2019-11-15,BANKNIFTY,6460119,129202380,402147.73
2019-11-15,NIFTY,3666664,274999800,328823.52
2019-11-18,BANKNIFTY,6122644,122452880,381328.42
2019-11-18,NIFTY,3010436,225782700,269221.39
2019-11-19,BANKNIFTY,8420376,168407520,525374.52
2019-11-19,NIFTY,3763690,282276750,337657.11
2019-11-20,BANKNIFTY,10233649,204672980,640482.68
2019-11-20,NIFTY,5502210,412665750,495703.86
2019-11-21,BANKNIFTY,25939598,518791960,1630503.26
2019-11-21,NIFTY,6687949,501596175,601779.66
2019-11-22,BANKNIFTY,5114748,102294960,320159.16
2019-11-22,NIFTY,3413125,255984375,306328.26
2019-11-25,BANKNIFTY,7537485,150749700,472966.73
2019-11-25,NIFTY,4897324,367299300,441603.43
2019-11-26,BANKNIFTY,10802360,216047200,683987.72
2019-11-26,NIFTY,5213268,390995100,473348.00
2019-11-27,BANKNIFTY,9445784,188915680,600030.78
2019-11-27,NIFTY,4509416,338206200,408908.51
2019-11-28,BANKNIFTY,24881362,497627240,1594903.50
2019-11-28,NIFTY,7223164,541737300,656509.08
2019-11-29,BANKNIFTY,5457893,109157860,349864.99
2019-11-29,NIFTY,3457357,259301775,313482.77
2019-12-02,BANKNIFTY,6460437,129208740,412566.78
2019-12-02,NIFTY,3357057,251779275,304928.06
2019-12-03,BANKNIFTY,7951301,159026020,505706.14
2019-12-03,NIFTY,4180970,313572750,378626.54
2019-12-04,BANKNIFTY,16594321,331886420,1055586.56
2019-12-04,NIFTY,7060935,529570125,637583.47
2019-12-05,BANKNIFTY,34638872,692777440,2215729.56
2019-12-05,NIFTY,8589026,644176950,777003.20
2019-12-06,BANKNIFTY,8005377,160107540,508632.09
2019-12-06,NIFTY,4169912,312743400,376574.78
2019-12-09,BANKNIFTY,8777420,175548400,553491.68
2019-12-09,NIFTY,3779838,283487850,340069.23
2019-12-10,BANKNIFTY,8323989,166479780,523514.52
2019-12-10,NIFTY,4110138,308260350,369056.94
2019-12-11,BANKNIFTY,12432205,248644100,779226.85
2019-12-11,NIFTY,5080026,381001950,455282.19
2019-12-12,BANKNIFTY,29533629,590672580,1865221.49
2019-12-12,NIFTY,7048896,528667200,633332.46
2019-12-16,BANKNIFTY,7106540,142130800,456536.16
2019-12-16,NIFTY,3381655,253624125,307590.78
2019-12-17,BANKNIFTY,7587084,151741680,488402.07
2019-12-17,NIFTY,4274986,320623950,389256.15
2019-12-18,BANKNIFTY,11597800,231956000,747028.66
2019-12-18,NIFTY,5040563,378042225,460718.37
2019-12-19,BANKNIFTY,29972626,599452520,1936399.42
2019-12-19,NIFTY,8149770,611232750,746729.30
2019-12-20,BANKNIFTY,4939879,98797580,320063.99
2019-12-20,NIFTY,2757760,206832000,253424.86
2019-12-23,BANKNIFTY,7157362,143147240,463533.41
2019-12-23,NIFTY,3889370,291702750,357238.57
2019-12-24,BANKNIFTY,7924809,158496180,512889.53
2019-12-24,NIFTY,4203434,315257550,386649.67
2019-12-26,BANKNIFTY,26756757,535135140,1724864.04
2019-12-26,NIFTY,7089799,531734925,649876.96
2019-12-27,BANKNIFTY,6430482,128609640,416645.99
2019-12-27,NIFTY,3273339,245500425,301002.00
2019-12-30,BANKNIFTY,10315755,206315100,671117.38
2019-12-30,NIFTY,3570469,267785175,328826.14
2019-12-31,BANKNIFTY,9574160,191483200,620123.30
2019-12-31,NIFTY,4454652,334098900,410053.87
2020-01-01,BANKNIFTY,11213747,224274940,723981.98
2020-01-01,NIFTY,3702267,277670025,339874.85
2020-01-02,BANKNIFTY,32528174,650563480,2105741.88
2020-01-02,NIFTY,7585402,568905150,697305.91
2020-01-03,BANKNIFTY,7760760,155215200,501576.04
2020-01-03,NIFTY,3752262,281419650,345045.54
2020-01-06,BANKNIFTY,10346633,206932660,656740.84
2020-01-06,NIFTY,5689424,426706800,518228.11
2020-01-07,BANKNIFTY,16450845,329016900,1040307.33
2020-01-07,NIFTY,7344587,550844025,667906.72
2020-01-08,BANKNIFTY,15568996,311379920,976320.32
2020-01-08,NIFTY,7682605,576195375,694084.18
2020-01-09,BANKNIFTY,36009064,720181280,2302805.34
2020-01-09,NIFTY,9459786,709483950,863607.89
2020-01-10,BANKNIFTY,8065559,161311180,520281.96
2020-01-10,NIFTY,4351366,326352450,400919.03
2020-01-13,BANKNIFTY,7030264,140605280,453963.84
2020-01-13,NIFTY,3441763,258132225,317723.56
2020-01-14,BANKNIFTY,8864512,177290240,571126.53
2020-01-14,NIFTY,3815805,286185375,352877.62
2020-01-15,BANKNIFTY,12148267,242965340,777114.14
2020-01-15,NIFTY,5207673,390575475,481635.23
2020-01-16,BANKNIFTY,37088441,741768820,2371162.02
2020-01-16,NIFTY,8030285,602271375,744084.07
2020-01-17,BANKNIFTY,6403793,128075860,408100.15
2020-01-17,NIFTY,3131680,234876000,290537.53
2020-01-20,BANKNIFTY,10162985,203259700,643139.17
2020-01-20,NIFTY,5141700,385627500,476405.20
2020-01-21,BANKNIFTY,11461284,229225680,715284.33
2020-01-21,NIFTY,4782346,358675950,440146.66
2020-01-22,BANKNIFTY,15202313,304046260,944061.02
2020-01-22,NIFTY,6400752,480056400,586853.03
2020-01-23,BANKNIFTY,39266167,785323340,2435761.30
2020-01-23,NIFTY,9307696,698077200,850249.85
2020-01-24,BANKNIFTY,7440829,148816580,466154.80
2020-01-24,NIFTY,3654473,274085475,335739.64
2020-01-27,BANKNIFTY,9069527,181390540,566372.13
2020-01-27,NIFTY,4398372,329877900,403397.19
2020-01-28,BANKNIFTY,12573350,251467000,781088.37
2020-01-28,NIFTY,5881913,441143475,537282.55
2020-01-29,BANKNIFTY,14079483,281589660,874996.52
2020-01-29,NIFTY,6812929,510969675,622124.85
2020-01-30,BANKNIFTY,32809213,656184260,2020681.81
2020-01-30,NIFTY,9592588,719444100,870933.75
2020-01-31,BANKNIFTY,4179687,83593740,261176.08
2020-01-31,NIFTY,3256127,244209525,297503.42
2020-02-03,BANKNIFTY,9941409,198828180,599163.90
2020-02-03,NIFTY,6695055,502129125,592605.00
2020-02-04,BANKNIFTY,12837631,256752620,785606.18
2020-02-04,NIFTY,7945549,595916175,709944.72
2020-02-05,BANKNIFTY,16717932,334358640,1033156.86
2020-02-05,NIFTY,8658631,649397325,780988.12
2020-02-06,BANKNIFTY,38995683,779913660,2439018.92
2020-02-06,NIFTY,10424933,781869975,948212.52
2020-02-07,BANKNIFTY,6319775,126395500,395829.71
2020-02-07,NIFTY,3181191,238589325,289774.95
2020-02-10,BANKNIFTY,6756314,135126280,421788.06
2020-02-10,NIFTY,4232368,317427600,383673.03
2020-02-11,BANKNIFTY,9209149,184182980,578234.75
2020-02-11,NIFTY,4897897,367342275,446153.36
2020-02-12,BANKNIFTY,10646373,212927460,671328.37
2020-02-12,NIFTY,5567446,417558450,509128.11
2020-02-13,BANKNIFTY,32364563,647291260,2034258.32
2020-02-13,NIFTY,7673346,575500950,700822.64
2020-02-14,BANKNIFTY,9645722,192914440,603071.03
2020-02-14,NIFTY,5318963,398922225,487219.03
2020-02-17,BANKNIFTY,8448294,168965880,523604.30
2020-02-17,NIFTY,4624427,346832025,421748.52
